全国，都道府県，市区町村,自治体コード,人口総数,うち外国人数,外国人比率（%）,2010年外国人比率（％）,自治体コード_文字列
深川市,1228,20039.0,110.0,0.5489295873047557,0.354295837023915,01228
富良野市,1229,21131.0,224.0,1.060053949174199,0.4163403273012078,01229
登別市,1230,46391.0,167.0,0.3599836175120174,0.1591429569537709,01230
恵庭市,1231,70331.0,438.0,0.6227694757645988,0.2551020408163265,01231
伊達市,1233,32826.0,180.0,0.5483458234326449,0.2866751199073818,01233
北広島市,1234,58171.0,369.0,0.6343366969795946,0.1905456232498798,01234
石狩市,1235,56869.0,451.0,0.7930506954579823,0.1917610052313748,01235
北斗市,1236,44302.0,300.0,0.6771703309105683,0.1269986675549633,01236
当別町,1303,15916.0,119.0,0.7476752953003267,0.1438772247681978,01303
新篠津村,1304,3044.0,8.0,0.2628120893561104,0.0568990042674253,01304
松前町,1331,6260.0,42.0,0.670926517571885,0.2514860539551898,01331
福島町,1332,3794.0,36.0,0.9488666315234582,0.2933124755572937,01332
知内町,1333,4167.0,63.0,1.511879049676026,0.0197083169097359,01333
木古内町,1334,3832.0,24.0,0.6263048016701461,0.5242463958060288,01334
七飯町,1337,27686.0,112.0,0.4045365888896916,0.140533323964445,01337
鹿部町,1343,3760.0,114.0,3.0319148936170213,0.9439899307740718,01343
森町,1345,14338.0,313.0,2.183010182731204,1.097485861470407,01345
八雲町,1346,15826.0,225.0,1.421711108302793,0.4762912785774768,01346
長万部町,1347,5109.0,177.0,3.464474456840869,0.8142812402129659,01347
江差町,1361,7428.0,19.0,0.2557889068389876,0.1110617503331852,01361
上ノ国町,1362,4306.0,50.0,1.1611704598235022,0.423728813559322,01362
厚沢部町,1363,3592.0,30.0,0.8351893095768375,0.5897028804717622,01363
乙部町,1364,3403.0,17.0,0.4995592124595944,0.0226860254083484,01364
奥尻町,1367,2410.0,8.0,0.3319502074688796,0.1318826244642268,01367
今金町,1370,5072.0,4.0,0.0788643533123028,0.2586485612673779,01370
せたな町,1371,7398.0,30.0,0.40551500405515,0.291970802919708,01371
島牧村,1391,1356.0,2.0,0.1474926253687315,,01391
寿都町,1392,2838.0,54.0,1.9027484143763216,1.4522218995062446,01392
黒松内町,1393,2791.0,16.0,0.573271228950197,0.1846153846153846,01393
蘭越町,1394,4568.0,38.0,0.8318739054290718,0.2834467120181406,01394
ニセコ町,1395,5074.0,246.0,4.848245959795033,1.5135807588637775,01395
真狩村,1396,2045.0,37.0,1.809290953545232,0.0456829602558245,01396
留寿都村,1397,1911.0,113.0,5.913134484563056,1.27826941986234,01397
喜茂別町,1398,2156.0,63.0,2.922077922077922,0.0803212851405622,01398
京極町,1399,2941.0,53.0,1.8021081264875891,0.2099186565205982,01399
倶知安町,1400,15129.0,589.0,3.893185273316148,1.5994347379239464,01400
共和町,1401,5772.0,9.0,0.1559251559251559,0.1088985687616677,01401
岩内町,1402,11648.0,47.0,0.4035027472527473,0.1799183447512282,01402
泊村,1403,1569.0,3.0,0.1912045889101338,0.1062134891131173,01403
神恵内村,1404,870.0,1.0,0.1149425287356321,,01404
積丹町,1405,1831.0,4.0,0.2184598580010922,0.0397456279809221,01405
古平町,1406,2745.0,53.0,1.930783242258652,0.8584879534754916,01406
仁木町,1407,3180.0,67.0,2.1069182389937104,3.026315789473684,01407
余市町,1408,18000.0,125.0,0.6944444444444444,0.4092576912221282,01408
赤井川村,1409,1165.0,60.0,5.150214592274678,0.2377179080824089,01409
南幌町,1423,7319.0,46.0,0.6285011613608417,0.4215083162451583,01423
奈井江町,1424,5120.0,28.0,0.546875,0.1775912173070713,01424
上砂川町,1425,2841.0,17.0,0.5983808518127419,0.2692119432207537,01425
由仁町,1427,4822.0,24.0,0.4977187888842804,0.2883310719131614,01427
長沼町,1428,10289.0,26.0,0.2526970551073962,0.0427679411513129,01428
栗山町,1429,11272.0,35.0,0.3105039034776437,0.3223388305847076,01429
月形町,1430,3691.0,13.0,0.3522080736927662,0.3087054949578102,01430
浦臼町,1431,1732.0,8.0,0.4618937644341801,0.1813236627379873,01431
新十津川町,1432,6484.0,19.0,0.2930289944478717,0.0965650434542695,01432
妹背牛町,1433,2693.0,43.0,1.5967322688451542,,01433
秩父別町,1434,2329.0,3.0,0.12881064834693,0.0732600732600732,01434
雨竜町,1436,2389.0,9.0,0.3767266638760987,0.0655952771400459,01436
北竜町,1437,1724.0,6.0,0.3480278422273781,,01437
沼田町,1438,2909.0,6.0,0.2062564455139223,,01438
鷹栖町,1452,6567.0,3.0,0.0456829602558245,0.0408441116405718,01452
東神楽町,1453,10127.0,43.0,0.4246074849412462,0.118381403357727,01453
当麻町,1454,6319.0,10.0,0.1582528881152081,0.0846620572879921,01454
比布町,1455,3520.0,3.0,0.0852272727272727,0.074220682830282,01455
愛別町,1456,2605.0,40.0,1.5355086372360844,0.8713942307692308,01456
上川町,1457,3500.0,48.0,1.3714285714285714,0.617828773168579,01457
東川町,1458,8314.0,266.0,3.1994226605725284,0.9161470925054078,01458
美瑛町,1459,9668.0,86.0,0.8895324782788581,0.1095290251916757,01459
上富良野町,1460,10348.0,60.0,0.5798221878623889,0.1212646167171936,01460
中富良野町,1461,4733.0,34.0,0.7183604479188676,0.073032682125251,01461
南富良野町,1462,2376.0,18.0,0.7575757575757576,0.1421464108031272,01462
占冠村,1463,1306.0,145.0,11.10260336906585,1.1477761836441895,01463
和寒町,1464,3192.0,22.0,0.6892230576441103,0.0521920668058455,01464
剣淵町,1465,2926.0,1.0,0.0341763499658236,0.0561009817671809,01465
下川町,1468,3126.0,26.0,0.8317338451695457,0.5033112582781457,01468
美深町,1469,4145.0,35.0,0.8443908323281062,0.3669370413286983,01469
音威子府村,1470,706.0,1.0,0.141643059490085,0.4020100502512563,01470
中川町,1471,1528.0,8.0,0.5235602094240838,0.8390141583639223,01471
幌加内町,1472,1370.0,2.0,0.145985401459854,0.175438596491228,01472
増毛町,1481,3908.0,80.0,2.047082906857728,1.1618747538400946,01481
小平町,1482,2994.0,67.0,2.237808951235805,0.3766478342749529,01482
苫前町,1483,2936.0,26.0,0.8855585831062671,0.3008752735229759,01483
羽幌町,1484,6548.0,22.0,0.3359804520464264,0.0376695128076343,01484
初山別村,1485,1080.0,8.0,0.7407407407407408,0.0730460189919649,01485
遠別町,1486,2520.0,60.0,2.380952380952381,0.7782101167315175,01486
天塩町,1487,2950.0,34.0,1.152542372881356,0.3439153439153439,01487
猿払村,1511,2611.0,161.0,6.166219839142091,4.212389380530973,01511
浜頓別町,1512,3448.0,75.0,2.1751740139211138,2.399232245681382,01512
中頓別町,1513,1637.0,4.0,0.2443494196701283,0.1013171225937183,01513
枝幸町,1514,7565.0,130.0,1.7184401850627893,1.2383561643835617,01514
豊富町,1516,3974.0,42.0,1.0568696527428283,0.4111466423024212,01516
礼文町,1517,2509.0,28.0,1.1159824631327222,0.7472384665367121,01517
利尻町,1518,2004.0,1.0,0.0499001996007983,0.4247104247104247,01518
利尻富士町,1519,2458.0,11.0,0.4475183075671277,0.658544616397761,01519
幌延町,1520,2371.0,28.0,1.180936313791649,0.7471049682480388,01520
美幌町,1543,18697.0,88.0,0.4706637428464459,0.1900347624565469,01543
津別町,1544,4373.0,9.0,0.2058083695403613,0.2656748140276302,01544
斜里町,1545,11418.0,187.0,1.6377649325626205,0.4752778842468379,01545
清里町,1546,3883.0,2.0,0.0515065670873036,0.1318391562294001,01546
小清水町,1547,4623.0,23.0,0.4975124378109453,0.1866368047779022,01547
訓子府町,1549,4677.0,28.0,0.5986743639084883,0.1839926402943882,01549
置戸町,1550,2775.0,5.0,0.1801801801801801,0.1750291715285881,01550
佐呂間町,1552,4875.0,222.0,4.5538461538461545,2.3251866938221317,01552
遠軽町,1555,19241.0,69.0,0.3586092198950158,0.2649898944531776,01555
湧別町,1559,8270.0,145.0,1.7533252720677146,1.523752614281446,01559
滝上町,1560,2421.0,25.0,1.0326311441553075,0.2642007926023778,01560
興部町,1561,3628.0,85.0,2.342888643880926,2.278539874447803,01561
西興部村,1562,1053.0,28.0,2.6590693257359925,0.1762114537444934,01562
雄武町,1563,4199.0,228.0,5.429864253393665,4.312613889451306,01563
大空町,1564,6775.0,13.0,0.1918819188191882,0.1764780032774486,01564
豊浦町,1571,3821.0,62.0,1.6226118817063595,0.4637809187279152,01571
壮瞥町,1575,2743.0,26.0,0.9478672985781992,0.2475247524752475,01575
白老町,1578,16212.0,189.0,1.16580310880829,0.4180429397192403,01578
厚真町,1581,4432.0,46.0,1.0379061371841156,0.2249488752556237,01581
洞爺湖町,1584,8442.0,88.0,1.0424070125562663,0.3355704697986577,01584
安平町,1585,7340.0,73.0,0.994550408719346,0.275040110016044,01585
むかわ町,1586,7651.0,142.0,1.8559665403215264,1.2415349887133182,01586
日高町,1601,11279.0,260.0,2.305168897951946,0.7051046639735585,01601
平取町,1602,4776.0,127.0,2.6591289782244556,2.2337383845604,01602
新冠町,1604,5309.0,146.0,2.750047089847429,0.935064935064935,01604
浦河町,1607,12074.0,256.0,2.1202584064932912,0.5420807561331573,01607
様似町,1608,4043.0,26.0,0.6430868167202572,0.215095815408682,01608
えりも町,1609,4374.0,39.0,0.8916323731138546,0.5911694069831886,01609
新ひだか町,1610,21517.0,103.0,0.4786912673699865,0.2360439041661748,01610
音更町,1631,43576.0,107.0,0.245548008077841,0.0975934346234889,01631
士幌町,1632,5848.0,90.0,1.5389876880984952,0.903990024937656,01632
上士幌町,1633,4778.0,136.0,2.8463792381749684,0.6889763779527559,01633
鹿追町,1634,5266.0,75.0,1.4242309153057349,0.4384426517011574,01634
新得町,1635,5817.0,33.0,0.5673027333677153,0.4208627686757853,01635
清水町,1636,9094.0,135.0,1.4844952716076534,0.1907439012147374,01636
芽室町,1637,18048.0,60.0,0.3324468085106383,0.1216609362602486,01637
中札内村,1638,3884.0,76.0,1.956745623069001,0.6989515726410384,01638
更別村,1639,3080.0,8.0,0.2597402597402597,0.8552049542907697,01639
大樹町,1641,5420.0,108.0,1.992619926199262,0.4517316379454575,01641
広尾町,1642,6387.0,51.0,0.7984969469234382,0.2791523918284481,01642
幕別町,1643,25766.0,108.0,0.419157028642397,0.1695106791727879,01643
池田町,1644,6294.0,22.0,0.3495392437241817,0.0929985385943935,01644
豊頃町,1645,3022.0,50.0,1.6545334215751155,0.2357100766057749,01645
本別町,1646,6618.0,42.0,0.6346328195829556,0.2779456193353474,01646
足寄町,1647,6563.0,26.0,0.3961602925491391,0.1572739187418086,01647
陸別町,1648,2264.0,41.0,1.8109540636042405,0.2641509433962264,01648
浦幌町,1649,4387.0,34.0,0.7750170959653522,0.1465201465201465,01649
釧路町,1661,19105.0,72.0,0.3768646951059932,0.1315404852382344,01661
厚岸町,1662,8892.0,156.0,1.7543859649122806,0.9971777986829726,01662
浜中町,1663,5507.0,84.0,1.5253313964045758,0.3686069728152357,01663
標茶町,1664,7230.0,95.0,1.313969571230982,0.2896801448400724,01664
弟子屈町,1665,6955.0,48.0,0.6901509705248023,0.1691229765643875,01665
鶴居村,1667,2558.0,35.0,1.3682564503518373,0.5329272934906737,01667
白糠町,1668,7289.0,90.0,1.2347372753464123,0.1183559285560576,01668
別海町,1691,14380.0,395.0,2.7468706536856744,0.9839167455061496,01691
中標津町,1692,23010.0,107.0,0.4650152107779227,0.2376782586940205,01692
標津町,1693,5023.0,77.0,1.5329484371889308,0.495926319518243,01693
羅臼町,1694,4722.0,42.0,0.8894536213468869,0.6796941376380629,01694
青森県,2000,1237984.0,5409.0,0.4369200248145372,0.2685425812563394,02000
青森市,2201,275192.0,922.0,0.3350388092677113,0.3014823717948718,02201
弘前市,2202,168466.0,641.0,0.3804922061424857,0.2458127353888583,02202
八戸市,2203,223415.0,1096.0,0.4905668822594722,0.2777602424089388,02203
黒石市,2204,31946.0,116.0,0.3631127527702999,0.1245433410826967,02204
五所川原市,2205,51415.0,97.0,0.1886608966254984,0.2139641567244655,02205
十和田市,2206,60378.0,310.0,0.5134320447845241,0.3116018756617758,02206
三沢市,2207,39152.0,659.0,1.6831834899877405,0.7659120655388046,02207
むつ市,2208,54103.0,153.0,0.2827939300962978,0.1981462679723577,02208
つがる市,2209,30934.0,58.0,0.1874959591388116,0.0617565717047498,02209
平川市,2210,30567.0,48.0,0.1570320934340956,0.1155076412747304,02210
平内町,2301,10126.0,47.0,0.4641516887221015,0.169889167543079,02301
今別町,2303,2334.0,3.0,0.1285347043701799,0.0932545850170966,02303
蓬田村,2304,2540.0,2.0,0.0787401574803149,0.0305716906144909,02304
外ヶ浜町,2307,5401.0,36.0,0.6665432327346787,0.2115954295387219,02307
鰺ヶ沢町,2321,9044.0,14.0,0.1547987616099071,0.2707660057646956,02321
深浦町,2323,7346.0,22.0,0.2994827116798257,0.2270147559591373,02323
西目屋村,2343,1265.0,,,,02343
藤崎町,2361,14573.0,27.0,0.1852741371028614,0.1061107296673116,02361
大鰐町,2362,8665.0,2.0,0.0230813618003462,0.0273273820368008,02362
田舎館村,2367,7326.0,11.0,0.1501501501501501,0.0122654237703912,02367
板柳町,2381,12700.0,19.0,0.1496062992125984,0.157614763249491,02381
鶴田町,2384,12074.0,15.0,0.1242338910054663,0.2102312543798178,02384
中泊町,2387,9657.0,64.0,0.6627316972144559,0.1961861414109707,02387
野辺地町,2401,12374.0,151.0,1.220300630353968,0.6357412323599273,02401
七戸町,2402,14556.0,54.0,0.3709810387469085,0.1312727489707023,02402
六戸町,2405,10447.0,81.0,0.7753422035033981,0.322234156820623,02405
横浜町,2406,4229.0,76.0,1.7971151572475763,0.1639008399918049,02406
東北町,2408,16428.0,103.0,0.6269783296810324,0.2512299801109599,02408
六ヶ所村,2411,10367.0,103.0,0.993537185299508,0.5317710680486706,02411
おいらせ町,2412,24273.0,228.0,0.9393152885922632,0.4378175209615463,02412
大間町,2423,4718.0,9.0,0.1907587961000423,0.1892744479495268,02423
東通村,2424,5955.0,12.0,0.2015113350125944,0.1241036955322669,02424
風間浦村,2425,1636.0,3.0,0.1833740831295843,0.1218026796589524,02425
佐井村,2426,1788.0,1.0,0.0559284116331096,0.0825763831544178,02426
三戸町,2441,9082.0,34.0,0.3743668795419511,0.2566598814054341,02441
五戸町,2442,16042.0,72.0,0.4488218426630096,0.2885848653270628,02442
田子町,2443,4968.0,13.0,0.2616747181964573,0.4534412955465586,02443
南部町,2445,16809.0,33.0,0.1963233981795466,0.2216289729511912,02445
階上町,2446,13496.0,66.0,0.4890337877889745,0.3401591945030274,02446
新郷村,2450,2197.0,8.0,0.3641329085116067,0.2806032970887407,02450
岩手県,3000,1210534.0,6937.0,0.5730528840990835,0.3897313605187998,03000
盛岡市,3201,289731.0,1321.0,0.4559401651877086,0.3489213938085725,03201
宮古市,3202,50369.0,125.0,0.2481685163493418,0.2170620898536093,03202
大船渡市,3203,34728.0,318.0,0.915687629578438,0.8297125463337998,03203
花巻市,3205,93193.0,373.0,0.4002446535684011,0.3144778091050691,03205
北上市,3206,93045.0,736.0,0.7910151002203235,0.3618286843178939,03206
久慈市,3207,33043.0,324.0,0.9805405078231396,0.5207203297895422,03207
遠野市,3208,25366.0,155.0,0.6110541669951904,0.2829770549930108,03208
一関市,3209,111932.0,799.0,0.7138262516527892,0.5346691629138627,03209
陸前高田市,3210,18262.0,173.0,0.94732230861899,0.4763948497854077,03210
釜石市,3211,32078.0,219.0,0.6827108922002618,0.3108101278617274,03211
二戸市,3213,25513.0,192.0,0.7525575196958414,0.5117500505016497,03213
八幡平市,3214,24023.0,95.0,0.3954543562419348,0.5788005578800558,03214
奥州市,3215,112937.0,589.0,0.5215297024004534,0.3134369037884982,03215
滝沢市,3216,55579.0,233.0,0.4192230878569244,,03216
雫石町,3301,15731.0,42.0,0.2669887483313203,0.2772694504519492,03301
葛巻町,3302,5634.0,23.0,0.4082357117500887,0.2464403066812705,03302
岩手町,3303,12285.0,165.0,1.3431013431013432,0.7608115323011212,03303
紫波町,3321,32147.0,86.0,0.2675210750614365,0.2553472722903148,03321
矢巾町,3322,28056.0,104.0,0.3706871970345024,0.2573056423451571,03322
西和賀町,3366,5134.0,24.0,0.4674717569146864,0.1211754013935171,03366
金ケ崎町,3381,15535.0,145.0,0.9333762471837788,0.557427258805513,03381
平泉町,3402,7252.0,39.0,0.5377826806398235,0.2037147992810065,03402
住田町,3441,5045.0,106.0,2.101090188305253,0.7754442649434572,03441
大槌町,3461,11004.0,51.0,0.4634678298800436,0.4385964912280701,03461
山田町,3482,14320.0,62.0,0.4329608938547485,0.4565719503679432,03482
岩泉町,3483,8726.0,61.0,0.6990602796241119,0.3702332469455757,03483
田野畑村,3484,3059.0,29.0,0.9480222294867604,0.2602133749674733,03484
普代村,3485,2487.0,21.0,0.8443908323281062,0.0647668393782383,03485
軽米町,3501,8421.0,89.0,1.0568816055100343,0.6758742286218044,03501
野田村,3503,3936.0,22.0,0.5589430894308943,0.3454231433506045,03503
九戸村,3506,5378.0,16.0,0.2975083674228337,0.3227293683725218,03506
洋野町,3507,15091.0,51.0,0.3379497713869194,0.4075252609836431,03507
一戸町,3524,11494.0,149.0,1.296328519227423,0.8740396137308805,03524
宮城県,4000,2301996.0,19453.0,0.8450492529092144,0.5266665672982946,04000
仙台市,4100,1096704.0,11507.0,1.049234798085901,0.7036423049639288,04100
仙台市青葉区,4101,311590.0,5581.0,1.7911357874129463,1.2205081046953703,04101
仙台市宮城野区,4102,196732.0,1915.0,0.9734054449708232,0.5790846996687194,04102
仙台市若林区,4103,141475.0,1258.0,0.8892030394062556,0.5457046543618581,04103
仙台市太白区,4104,234758.0,1677.0,0.714352652518764,0.5648539358441982,04104
仙台市泉区,4105,212149.0,1076.0,0.5071907008753281,0.346618809279156,04105
石巻市,4202,140151.0,1071.0,0.7641757818353062,0.4507977565816472,04202
塩竈市,4203,52203.0,503.0,0.9635461563511676,0.362896087803151,04203
気仙沼市,4205,61147.0,582.0,0.9518046674407576,0.5783178434867803,04205
白石市,4206,32758.0,214.0,0.653275535746993,0.3233392122281011,04206
名取市,4207,78718.0,359.0,0.456058334815417,0.3308994448546504,04207
角田市,4208,27976.0,206.0,0.7363454389476695,0.4754914475363798,04208
多賀城市,4209,62827.0,364.0,0.5793687427379948,0.4408499841420869,04209
岩沼市,4211,44068.0,375.0,0.8509576109648725,0.2421526693371353,04211
登米市,4212,76037.0,328.0,0.4313689388061075,0.3977658421560338,04212
栗原市,4213,64637.0,486.0,0.7518913315902657,0.3523194362889019,04213
東松島市,4214,39098.0,142.0,0.3631899329888997,0.289024077570333,04214
大崎市,4215,127330.0,726.0,0.5701719940312574,0.3877259576609174,04215
富谷市,4216,51651.0,219.0,0.4239995353429749,,04216
蔵王町,4301,11418.0,67.0,0.5867927833245752,0.3337990995187083,04301
七ヶ宿町,4302,1262.0,27.0,2.13946117274168,1.1216056670602124,04302
大河原町,4321,23571.0,125.0,0.5303126723516185,0.3399915002124947,04321
村田町,4322,10666.0,54.0,0.5062816426026626,0.1917465610671113,04322
柴田町,4323,38271.0,140.0,0.3658122338062763,0.3736559823085331,04323
川崎町,4324,8345.0,127.0,1.5218693828639904,0.2906394066947284,04324
丸森町,4341,12262.0,133.0,1.0846517696949929,0.5483517192439198,04341
亘理町,4361,33087.0,155.0,0.4684619336899688,0.2496771416272062,04361
山元町,4362,12046.0,58.0,0.4814876307487963,0.2813697318007663,04362
松島町,4401,13323.0,63.0,0.4728664715154244,0.1590984421610871,04401
七ヶ浜町,4404,18132.0,98.0,0.5404809177145378,0.2889890282131661,04404
利府町,4406,35182.0,120.0,0.3410835086123586,0.21474377831382,04406
大和町,4421,28786.0,374.0,1.2992426874174945,0.3213625773278701,04421
大郷町,4422,7813.0,79.0,1.0111352873416102,0.291251260221799,04422
大衡村,4424,5849.0,58.0,0.9916224995725764,0.4874390701162355,04424
色麻町,4444,6698.0,34.0,0.5076142131979695,0.4171713093796259,04444
加美町,4445,21943.0,162.0,0.7382764435127375,0.2585497708308849,04445
涌谷町,4501,15388.0,57.0,0.3704185079282558,0.2800960329255745,04501
美里町,4505,23994.0,64.0,0.2667333500041677,0.3255260023818975,04505
女川町,4581,6430.0,212.0,3.297045101088647,2.069445826285942,04581
南三陸町,4606,12225.0,164.0,1.3415132924335378,0.6655574043261231,04606
秋田県,5000,959502.0,3651.0,0.3805098895051808,0.3090247947277939,05000
秋田市,5201,307672.0,1187.0,0.3858004628305468,0.3250927070457354,05201
能代市,5202,49968.0,208.0,0.4162664105027218,0.3723512287590549,05202
横手市,5203,85555.0,373.0,0.4359768569925778,0.3730926021938252,05203
大館市,5204,69237.0,295.0,0.4260727645623005,0.2875383173308337,05204
男鹿市,5206,25154.0,44.0,0.1749224775383636,0.1641171734687558,05206
湯沢市,5207,42091.0,114.0,0.2708417476420137,0.2340262345375524,05207
鹿角市,5209,29088.0,89.0,0.3059680968096809,0.3248919444202709,05209
由利本荘市,5210,74707.0,256.0,0.3426720387647744,0.2815942930223281,05210
潟上市,5211,31720.0,85.0,0.2679697351828499,0.1306544335404448,05211
大仙市,5212,77657.0,226.0,0.2910233462533963,0.2253655111493641,05212
北秋田市,5213,30198.0,142.0,0.470229816544142,0.4314727787396598,05213
にかほ市,5214,23435.0,83.0,0.3541711115852357,0.2831832704037177,05214
仙北市,5215,24610.0,89.0,0.361641609101991,0.3314393939393939,05215
小坂町,5303,4780.0,33.0,0.690376569037657,0.1816980508754542,05303
上小阿仁村,5327,2063.0,21.0,1.0179350460494423,0.77007700770077,05327
藤里町,5346,2896.0,26.0,0.8977900552486188,0.8575883575883576,05346
三種町,5348,15254.0,46.0,0.3015602464927232,0.2966730239457512,05348
八峰町,5349,6577.0,48.0,0.729816025543561,0.5352798053527981,05349
五城目町,5361,8538.0,18.0,0.2108222066057624,0.1521491061240015,05361
八郎潟町,5363,5583.0,26.0,0.4656994447429697,0.3321757511701645,05363
井川町,5366,4566.0,6.0,0.1314060446780552,0.0728199526670307,05366
大潟村,5368,3011.0,19.0,0.631019594818997,0.0932256059664387,05368
美郷町,5434,18613.0,49.0,0.2632568634825122,0.3321952569899419,05434
羽後町,5463,13825.0,102.0,0.7377938517179023,0.5776560266793711,05463
東成瀬村,5464,2704.0,66.0,2.440828402366864,0.3481894150417827,05464
山形県,6000,1068027.0,7149.0,0.6693651003204976,0.5268092707481411,06000
山形市,6201,247590.0,1156.0,0.4669009249161921,0.443668287157219,06201
米沢市,6202,81252.0,737.0,0.9070545955791858,0.6845561011621794,06202
鶴岡市,6203,122347.0,635.0,0.5190155868145521,0.5086991209386413,06203
酒田市,6204,100273.0,503.0,0.5016305486023157,0.391359501938804,06204
新庄市,6205,34432.0,361.0,1.048443308550186,0.8597168597168596,06205
寒河江市,6206,40189.0,345.0,0.858443852795541,0.6560781629811436,06206
上山市,6207,29110.0,147.0,0.5049811061490896,0.4048941955313866,06207
村山市,6208,22516.0,180.0,0.7994315153668502,0.6974749170116743,06208
長井市,6209,26543.0,340.0,1.2809403609237842,0.675194245580701,06209
天童市,6210,62140.0,531.0,0.8545220469906664,0.4805992220400553,06210
東根市,6211,47682.0,322.0,0.6753072438236651,0.396432111000991,06211
尾花沢市,6212,14971.0,80.0,0.5343664417874557,0.5170139804800844,06212
南陽市,6213,30420.0,269.0,0.8842866535174227,0.5437043199239407,06213
山辺町,6301,13725.0,47.0,0.3424408014571949,0.2576127881630226,06301
中山町,6302,10746.0,57.0,0.530429927414852,0.3578859758635039,06302
河北町,6321,17641.0,181.0,1.026018933167054,0.6964276767373114,06321
西川町,6322,4956.0,42.0,0.847457627118644,0.7017543859649122,06322
朝日町,6323,6366.0,52.0,0.8168394596292806,0.7764765784114053,06323
大江町,6324,7646.0,87.0,1.1378498561339263,0.6502655250894115,06324
大石田町,6341,6577.0,78.0,1.1859510415082863,0.857843137254902,06341
金山町,6361,5071.0,57.0,1.124038651153619,0.8012568735271014,06361
最上町,6362,8080.0,82.0,1.0148514851485149,0.8733624454148471,06362
舟形町,6363,5007.0,33.0,0.659077291791492,0.5191434133679429,06363
真室川町,6364,7203.0,35.0,0.4859086491739553,0.5455537370430987,06364
大蔵村,6365,3028.0,16.0,0.5284015852047557,1.036682615629984,06365
鮭川村,6366,3902.0,26.0,0.6663249615581752,0.8021390374331552,06366
戸沢村,6367,4199.0,60.0,1.428911645629912,1.0369532428355956,06367
高畠町,6381,22463.0,196.0,0.8725459644749143,0.6593406593406593,06381
川西町,6382,14558.0,68.0,0.4670971287264734,0.4216484722462889,06382
小国町,6401,7107.0,56.0,0.7879555367947094,0.2595350936583164,06401
白鷹町,6402,12890.0,121.0,0.9387121799844842,0.6334073396891733,06402
飯豊町,6403,6613.0,48.0,0.7258430364433691,0.692433589323933,06403
