全国，都道府県，市区町村,自治体コード,人口総数,うち外国人数,外国人比率（%）,2010年外国人比率（％）
深川市,1228,20039.0,110.0,0.5489295873047557,0.354295837023915
富良野市,1229,21131.0,224.0,1.060053949174199,0.4163403273012078
登別市,1230,46391.0,167.0,0.3599836175120174,0.1591429569537709
恵庭市,1231,70331.0,438.0,0.6227694757645988,0.2551020408163265
伊達市,1233,32826.0,180.0,0.5483458234326449,0.2866751199073818
北広島市,1234,58171.0,369.0,0.6343366969795946,0.1905456232498798
石狩市,1235,56869.0,451.0,0.7930506954579823,0.1917610052313748
北斗市,1236,44302.0,300.0,0.6771703309105683,0.1269986675549633
当別町,1303,15916.0,119.0,0.7476752953003267,0.1438772247681978
新篠津村,1304,3044.0,8.0,0.2628120893561104,0.0568990042674253
松前町,1331,6260.0,42.0,0.670926517571885,0.2514860539551898
福島町,1332,3794.0,36.0,0.9488666315234582,0.2933124755572937
知内町,1333,4167.0,63.0,1.511879049676026,0.0197083169097359
木古内町,1334,3832.0,24.0,0.6263048016701461,0.5242463958060288
七飯町,1337,27686.0,112.0,0.4045365888896916,0.140533323964445
鹿部町,1343,3760.0,114.0,3.0319148936170213,0.9439899307740718
森町,1345,14338.0,313.0,2.183010182731204,1.097485861470407
八雲町,1346,15826.0,225.0,1.421711108302793,0.4762912785774768
長万部町,1347,5109.0,177.0,3.464474456840869,0.8142812402129659
江差町,1361,7428.0,19.0,0.2557889068389876,0.1110617503331852
上ノ国町,1362,4306.0,50.0,1.1611704598235022,0.423728813559322
厚沢部町,1363,3592.0,30.0,0.8351893095768375,0.5897028804717622
乙部町,1364,3403.0,17.0,0.4995592124595944,0.0226860254083484
奥尻町,1367,2410.0,8.0,0.3319502074688796,0.1318826244642268
今金町,1370,5072.0,4.0,0.0788643533123028,0.2586485612673779
せたな町,1371,7398.0,30.0,0.40551500405515,0.291970802919708
島牧村,1391,1356.0,2.0,0.1474926253687315,
寿都町,1392,2838.0,54.0,1.9027484143763216,1.4522218995062446
黒松内町,1393,2791.0,16.0,0.573271228950197,0.1846153846153846
蘭越町,1394,4568.0,38.0,0.8318739054290718,0.2834467120181406
ニセコ町,1395,5074.0,246.0,4.848245959795033,1.5135807588637775
真狩村,1396,2045.0,37.0,1.809290953545232,0.0456829602558245
留寿都村,1397,1911.0,113.0,5.913134484563056,1.27826941986234
喜茂別町,1398,2156.0,63.0,2.922077922077922,0.0803212851405622
京極町,1399,2941.0,53.0,1.8021081264875891,0.2099186565205982
倶知安町,1400,15129.0,589.0,3.893185273316148,1.5994347379239464
共和町,1401,5772.0,9.0,0.1559251559251559,0.1088985687616677
岩内町,1402,11648.0,47.0,0.4035027472527473,0.1799183447512282
泊村,1403,1569.0,3.0,0.1912045889101338,0.1062134891131173
神恵内村,1404,870.0,1.0,0.1149425287356321,
積丹町,1405,1831.0,4.0,0.2184598580010922,0.0397456279809221
古平町,1406,2745.0,53.0,1.930783242258652,0.8584879534754916
