全国，都道府県，市区町村,Unnamed: 0,自治体コード,人口総数,うち外国人数,外国人比率（%）
剣淵町,111,1465,2926.0,1.0,0.0341763499658236
下川町,112,1468,3126.0,26.0,0.8317338451695457
美深町,113,1469,4145.0,35.0,0.8443908323281062
音威子府村,114,1470,706.0,1.0,0.141643059490085
中川町,115,1471,1528.0,8.0,0.5235602094240838
幌加内町,116,1472,1370.0,2.0,0.145985401459854
増毛町,117,1481,3908.0,80.0,2.047082906857728
小平町,118,1482,2994.0,67.0,2.237808951235805
苫前町,119,1483,2936.0,26.0,0.8855585831062671
羽幌町,120,1484,6548.0,22.0,0.3359804520464264
初山別村,121,1485,1080.0,8.0,0.7407407407407408
遠別町,122,1486,2520.0,60.0,2.380952380952381
天塩町,123,1487,2950.0,34.0,1.152542372881356
猿払村,124,1511,2611.0,161.0,6.166219839142091
浜頓別町,125,1512,3448.0,75.0,2.1751740139211138
中頓別町,126,1513,1637.0,4.0,0.2443494196701283
枝幸町,127,1514,7565.0,130.0,1.7184401850627893
豊富町,128,1516,3974.0,42.0,1.0568696527428283
礼文町,129,1517,2509.0,28.0,1.1159824631327222
利尻町,130,1518,2004.0,1.0,0.0499001996007983
利尻富士町,131,1519,2458.0,11.0,0.4475183075671277
幌延町,132,1520,2371.0,28.0,1.180936313791649
美幌町,133,1543,18697.0,88.0,0.4706637428464459
津別町,134,1544,4373.0,9.0,0.2058083695403613
斜里町,135,1545,11418.0,187.0,1.6377649325626205
清里町,136,1546,3883.0,2.0,0.0515065670873036
小清水町,137,1547,4623.0,23.0,0.4975124378109453
訓子府町,138,1549,4677.0,28.0,0.5986743639084883
置戸町,139,1550,2775.0,5.0,0.1801801801801801
佐呂間町,140,1552,4875.0,222.0,4.5538461538461545
遠軽町,141,1555,19241.0,69.0,0.3586092198950158
湧別町,142,1559,8270.0,145.0,1.7533252720677146
滝上町,143,1560,2421.0,25.0,1.0326311441553075
興部町,144,1561,3628.0,85.0,2.342888643880926
西興部村,145,1562,1053.0,28.0,2.6590693257359925
雄武町,146,1563,4199.0,228.0,5.429864253393665
大空町,147,1564,6775.0,13.0,0.1918819188191882
